Record of Climatological Observations,,,,,,,
US Department of Commerce: National Oceanic & Atmospheric Administration,,,,,,,
Current Location,,Elev,955 ft.,Lat,40.0639N,Long,-82.8673W
Station,,"Columbus 8.2 NE, OH US US1OHFR0046",,,,,
,,,,,,,
Date,Precip (in),,,,,,
8/1/17,0,,,,,,
8/2/17,0,,,,,,
8/3/17,0.06,,,,,,
8/4/17,0.04,,,,,,
8/5/17,0.01,,,,,,
8/6/17,0,,,,,,
8/7/17,0.07,,,,,,
8/8/17,0.18,,,,,,
8/9/17,0,,,,,,
8/10/17,0,,,,,,
8/11/17,0.09,,,,,,
8/12/17,0.2,,,,,,
8/13/17,0,,,,,,
8/14/17,0,,,,,,
8/15/17,0,,,,,,
8/16/17,0.01,,,,,,
8/17/17,0,,,,,,
8/18/17,0.45,,,,,,
8/19/17,0.01,,,,,,
8/20/17,,,,,,,
8/21/17,,,,,,,
8/22/17,0,,,,,,
8/23/17,0.35,,,,,,
8/24/17,0,,,,,,
8/25/17,0,,,,,,
8/26/17,0,,,,,,
8/27/17,0,,,,,,
8/28/17,0,,,,,,
8/29/17,0.01,,,,,,
8/30/17,0.02,,,,,,
8/31/17,0,,,,,,
9/1/17,0,,,,,,
9/2/17,1.24,,,,,,
9/3/17,0.55,,,,,,
9/4/17,0,,,,,,
9/5/17,0.76,,,,,,
9/6/17,0,,,,,,
9/7/17,0,,,,,,
9/8/17,0.02,,,,,,
9/9/17,0,,,,,,
9/10/17,0,,,,,,
9/11/17,0,,,,,,
9/12/17,0,,,,,,
9/13/17,0.18,,,,,,
9/14/17,0.37,,,,,,
9/15/17,0.04,,,,,,
9/16/17,0,,,,,,
9/17/17,0,,,,,,
9/18/17,0,,,,,,
9/19/17,0,,,,,,
9/20/17,0.01,,,,,,
9/21/17,0.01,,,,,,
9/22/17,0,,,,,,
9/23/17,0,,,,,,
9/24/17,0,,,,,,
9/25/17,0,,,,,,
9/26/17,0,,,,,,
9/27/17,,,,,,,
9/28/17,,,,,,,
9/29/17,,,,,,,
9/30/17,0,,,,,,
10/1/17,0,,,,,,
10/2/17,,,,,,,
10/3/17,0,,,,,,
10/4/17,0,,,,,,
10/5/17,,,,,,,
10/6/17,1.22,,,,,,
10/7/17,0.02,,,,,,
10/8/17,0.26,,,,,,
10/9/17,1.43,,,,,,
10/10/17,0.01,,,,,,
10/11/17,0.22,,,,,,
10/12/17,0.01,,,,,,
10/13/17,0,,,,,,
10/14/17,0,,,,,,
10/15/17,0,,,,,,
10/16/17,0.01,,,,,,
10/17/17,0,,,,,,
10/18/17,0,,,,,,
10/19/17,0,,,,,,
10/20/17,0,,,,,,
10/21/17,0,,,,,,
10/22/17,0,,,,,,
10/23/17,0,,,,,,
10/24/17,,,,,,,
10/25/17,,,,,,,
10/26/17,,,,,,,
10/27/17,,,,,,,
10/28/17,,,,,,,
10/29/17,,,,,,,
10/30/17,0,,,,,,
10/31/17,0.04,,,,,,
11/1/17,0,,,,,,
11/2/17,1.11,,,,,,
11/3/17,0.37,,,,,,
11/4/17,0.01,,,,,,
11/5/17,0.03,,,,,,
11/6/17,2.26,,,,,,
11/7/17,0.04,,,,,,
11/8/17,0,,,,,,
11/9/17,0,,,,,,
11/10/17,0,,,,,,
11/11/17,0,,,,,,
11/12/17,0,,,,,,
11/13/17,0.35,,,,,,
11/14/17,0,,,,,,
11/15/17,0,,,,,,
11/16/17,0.17,,,,,,
11/17/17,0,,,,,,
11/18/17,0.2,,,,,,
11/19/17,0.77,,,,,,
11/20/17,0.01,,,,,,
11/21/17,0,,,,,,
11/22/17,0.03,,,,,,
11/23/17,0,,,,,,
11/24/17,0,,,,,,
11/25/17,0,,,,,,
11/26/17,0,,,,,,
11/27/17,0,,,,,,
11/28/17,0,,,,,,
11/29/17,0,,,,,,
11/30/17,0,,,,,,
12/1/17,0.16,,,,,,
12/2/17,0,,,,,,
12/3/17,0,,,,,,
12/4/17,0,,,,,,
12/5/17,0.59,,,,,,
12/6/17,0.01,,,,,,
12/7/17,0,,,,,,
12/8/17,0.01,,,,,,
12/9/17,0,,,,,,
12/10/17,0.04,,,,,,
12/11/17,0,,,,,,
12/12/17,0.01,,,,,,
12/13/17,0.02,,,,,,
12/14/17,0.02,,,,,,
12/15/17,0.01,,,,,,
12/16/17,0.01,,,,,,
12/17/17,0,,,,,,
12/18/17,0.01,,,,,,
12/19/17,0.01,,,,,,
12/20/17,0,,,,,,
12/21/17,0,,,,,,
12/22/17,0.01,,,,,,
12/23/17,0.62,,,,,,
12/24/17,0.25,,,,,,
12/25/17,0.07,,,,,,
12/26/17,0,,,,,,
12/27/17,0.01,,,,,,
12/28/17,0,,,,,,
12/29/17,0,,,,,,
12/30/17,0.16,,,,,,
12/31/17,0.01,,,,,,
1/1/18,0.01,,,,,,
1/2/18,0,,,,,,
1/3/18,0,,,,,,
1/4/18,0.01,,,,,,
1/5/18,0.02,,,,,,
1/6/18,0,,,,,,
1/7/18,0,,,,,,
1/8/18,,,,,,,
1/9/18,,,,,,,
1/10/18,,,,,,,
1/11/18,,,,,,,
1/12/18,,,,,,,
1/13/18,1.09,,,,,,
1/14/18,0,,,,,,
1/15/18,0.04,,,,,,
1/16/18,0.28,,,,,,
1/17/18,0.01,,,,,,
1/18/18,0.01,,,,,,
1/19/18,0,,,,,,
1/20/18,0,,,,,,
1/21/18,0.01,,,,,,
1/22/18,0.04,,,,,,
1/23/18,0.34,,,,,,
1/24/18,0.01,,,,,,
1/25/18,0.02,,,,,,
1/26/18,0,,,,,,
1/27/18,,,,,,,
1/28/18,,,,,,,
1/29/18,0,,,,,,
1/30/18,0.03,,,,,,
1/31/18,0,,,,,,
2/1/18,0,,,,,,
2/2/18,0,,,,,,
2/3/18,0.01,,,,,,
2/4/18,0.02,,,,,,
2/5/18,0.19,,,,,,
2/6/18,0.01,,,,,,
2/7/18,0.45,,,,,,
2/8/18,0.01,,,,,,
2/9/18,0,,,,,,
2/10/18,0,,,,,,
2/11/18,0.01,,,,,,
2/12/18,0.13,,,,,,
2/13/18,0,,,,,,
2/14/18,0,,,,,,
2/15/18,0.29,,,,,,
2/16/18,1.11,,,,,,
2/17/18,0.01,,,,,,
2/18/18,0.19,,,,,,
2/19/18,0.1,,,,,,
2/20/18,0.14,,,,,,
2/21/18,0.03,,,,,,
2/22/18,0.69,,,,,,
2/23/18,,,,,,,
2/24/18,,,,,,,
2/25/18,1.46,,,,,,
2/26/18,0.01,,,,,,
2/27/18,0,,,,,,
2/28/18,0,,,,,,
3/1/18,0.12,,,,,,
3/2/18,0.83,,,,,,
3/3/18,0,,,,,,
3/4/18,0,,,,,,
3/5/18,0,,,,,,
3/6/18,0.01,,,,,,
3/7/18,0.01,,,,,,
3/8/18,0.04,,,,,,
3/9/18,0.01,,,,,,
3/10/18,0.01,,,,,,
3/11/18,0,,,,,,
3/12/18,0,,,,,,
3/13/18,0.01,,,,,,
3/14/18,0.02,,,,,,
3/15/18,0.01,,,,,,
3/16/18,0.05,,,,,,
3/17/18,0.01,,,,,,
3/18/18,0.05,,,,,,
3/19/18,0,,,,,,
3/20/18,0,,,,,,
3/21/18,0.25,,,,,,
3/22/18,0.02,,,,,,
3/23/18,0,,,,,,
3/24/18,0,,,,,,
3/25/18,0,,,,,,
3/26/18,0,,,,,,
3/27/18,0.05,,,,,,
3/28/18,0.6,,,,,,
3/29/18,0.19,,,,,,
3/30/18,0.91,,,,,,
3/31/18,0,,,,,,
4/1/18,0.01,,,,,,
4/2/18,0.16,,,,,,
4/3/18,0.35,,,,,,
4/4/18,2.01,,,,,,
4/5/18,0.01,,,,,,
4/6/18,0,,,,,,
4/7/18,0.18,,,,,,
4/8/18,0,,,,,,
4/9/18,0,,,,,,
4/10/18,0.01,,,,,,
4/11/18,0,,,,,,
4/12/18,0,,,,,,
4/13/18,0.01,,,,,,
4/14/18,0,,,,,,
4/15/18,1,,,,,,
4/16/18,1.26,,,,,,
4/17/18,0.02,,,,,,
4/18/18,0.01,,,,,,
4/19/18,0.17,,,,,,
4/20/18,0.01,,,,,,
4/21/18,0,,,,,,
4/22/18,0,,,,,,
4/23/18,0,,,,,,
4/24/18,0.13,,,,,,
4/25/18,,,,,,,
4/26/18,,,,,,,
4/27/18,,,,,,,
4/28/18,,,,,,,
4/29/18,,,,,,,
4/30/18,,,,,,,
5/1/18,0,,,,,,
5/2/18,,,,,,,
5/3/18,,,,,,,
5/4/18,,,,,,,
5/5/18,,,,,,,
5/6/18,,,,,,,
5/7/18,,,,,,,
5/8/18,,,,,,,
5/9/18,,,,,,,
5/10/18,0,,,,,,
5/11/18,0.12,,,,,,
5/12/18,0,,,,,,
5/13/18,0,,,,,,
5/14/18,0.01,,,,,,
5/15/18,0,,,,,,
5/16/18,0.94,,,,,,
5/17/18,0.06,,,,,,
5/18/18,0.01,,,,,,
5/19/18,0.1,,,,,,
5/20/18,0.03,,,,,,
5/21/18,0.01,,,,,,
5/22/18,1.31,,,,,,
5/23/18,0.01,,,,,,
5/24/18,0,,,,,,
5/25/18,0,,,,,,
5/26/18,0,,,,,,
5/27/18,1.2,,,,,,
5/28/18,0,,,,,,
5/29/18,0,,,,,,
5/30/18,0,,,,,,
5/31/18,0.36,,,,,,
6/1/18,0.15,,,,,,
6/2/18,0,,,,,,
6/3/18,0,,,,,,
6/4/18,0.17,,,,,,
6/5/18,0,,,,,,
6/6/18,0.68,,,,,,
6/7/18,0,,,,,,
6/8/18,0,,,,,,
6/9/18,0.79,,,,,,
6/10/18,0.33,,,,,,
6/11/18,0,,,,,,
6/12/18,0.02,,,,,,
6/13/18,0.1,,,,,,
6/14/18,0.55,,,,,,
6/15/18,0,,,,,,
6/16/18,0,,,,,,
6/17/18,1.29,,,,,,
6/18/18,0,,,,,,
6/19/18,0.08,,,,,,
6/20/18,,,,,,,
6/21/18,,,,,,,
6/22/18,,,,,,,
6/23/18,0.32,,,,,,
6/24/18,0.04,,,,,,
6/25/18,0,,,,,,
6/26/18,,,,,,,
6/27/18,,,,,,,
6/28/18,,,,,,,
6/29/18,0,,,,,,
6/30/18,0,,,,,,
7/1/18,0,,,,,,
7/2/18,0,,,,,,
7/3/18,0.05,,,,,,
7/4/18,0.34,,,,,,
7/5/18,0.04,,,,,,
7/6/18,0,,,,,,
7/7/18,0,,,,,,
7/8/18,0,,,,,,
7/9/18,0,,,,,,
7/10/18,0,,,,,,
7/11/18,0.01,,,,,,
7/12/18,0,,,,,,
7/13/18,0,,,,,,
7/14/18,0,,,,,,
7/15/18,0,,,,,,
7/16/18,0,,,,,,
7/17/18,1.25,,,,,,
7/18/18,0,,,,,,
7/19/18,0,,,,,,
7/20/18,0,,,,,,
7/21/18,0.71,,,,,,
7/22/18,0.15,,,,,,
7/23/18,0.01,,,,,,
7/24/18,2.34,,,,,,
7/25/18,0.01,,,,,,
7/26/18,0,,,,,,
7/27/18,0.31,,,,,,
7/28/18,0,,,,,,
7/29/18,0,,,,,,
7/30/18,0.07,,,,,,
7/31/18,,,,,,,
,,,,,,,